,alpha,decayFunction,decay,epsilon,trial,net_reward,success
239,0.1,power,0.7,0.9,10,2.4010364801,0
240,0.1,power,0.9,0.9,1,24.7581046001,0
241,0.1,power,0.9,0.9,2,34.9142268767,0
242,0.1,power,0.9,0.9,3,-74.3235420453,0
243,0.1,power,0.9,0.9,4,25.2117583571,0
244,0.1,power,0.9,0.9,5,34.1173790231,0
245,0.1,power,0.9,0.9,6,19.6668653467,0
246,0.1,power,0.9,0.9,7,-1.91115984742,0
247,0.1,power,0.9,0.9,8,13.9355211589,1
248,0.1,power,0.9,0.9,9,-17.1460987357,0
249,0.1,power,0.9,0.9,10,11.5767391423,0
250,0.3,power,0.1,0.1,1,21.616934496,1
251,0.3,power,0.1,0.1,2,-14.1605413309,0
252,0.3,power,0.1,0.1,3,-12.0616002336,0
253,0.3,power,0.1,0.1,4,8.40440254223,1
254,0.3,power,0.1,0.1,5,9.53452832097,0
255,0.3,power,0.1,0.1,6,18.0832847065,1
256,0.3,power,0.1,0.1,7,17.5166674844,1
257,0.3,power,0.1,0.1,8,-32.3387053857,0
258,0.3,power,0.1,0.1,9,35.1167038616,1
259,0.3,power,0.1,0.1,10,6.13200220078,0
260,0.3,power,0.3,0.1,1,7.09527860955,0
261,0.3,power,0.3,0.1,2,-61.2178699621,0
262,0.3,power,0.3,0.1,3,9.49375022804,1
263,0.3,power,0.3,0.1,4,-16.6163318128,0
264,0.3,power,0.3,0.1,5,24.0091005924,0
265,0.3,power,0.3,0.1,6,-78.7750732008,1
266,0.3,power,0.3,0.1,7,6.29821489437,1
267,0.3,power,0.3,0.1,8,-46.8548499351,0
268,0.3,power,0.3,0.1,9,-16.4137983431,0
269,0.3,power,0.3,0.1,10,-42.642134482,0
270,0.3,power,0.5,0.1,1,17.8377316394,0
271,0.3,power,0.5,0.1,2,21.4814187772,0
272,0.3,power,0.5,0.1,3,28.738079388,0
273,0.3,power,0.5,0.1,4,0.933338434908,0
274,0.3,power,0.5,0.1,5,-4.85298226647,1
275,0.3,power,0.5,0.1,6,-14.1255645898,1
276,0.3,power,0.5,0.1,7,28.5512668875,0
277,0.3,power,0.5,0.1,8,-3.39526039283,0
278,0.3,power,0.5,0.1,9,5.6258256377,0
279,0.3,power,0.5,0.1,10,-32.838681009,0
280,0.3,power,0.7,0.1,1,7.87324938912,0
281,0.3,power,0.7,0.1,2,-0.68283612802,1
282,0.3,power,0.7,0.1,3,-18.8210679367,0
283,0.3,power,0.7,0.1,4,-18.7660505346,0
284,0.3,power,0.7,0.1,5,20.5490650089,1
285,0.3,power,0.7,0.1,6,6.77030296893,1
286,0.3,power,0.7,0.1,7,11.0537478023,1
287,0.3,power,0.7,0.1,8,27.666851645,1
288,0.3,power,0.7,0.1,9,-2.32511918984,1
289,0.3,power,0.7,0.1,10,-11.1257632223,0
290,0.3,power,0.9,0.1,1,-12.2768903244,0
291,0.3,power,0.9,0.1,2,-26.9256379381,0
292,0.3,power,0.9,0.1,3,-8.46883894381,0
293,0.3,power,0.9,0.1,4,-0.398192800776,1
294,0.3,power,0.9,0.1,5,25.7859426776,0
295,0.3,power,0.9,0.1,6,16.0703589628,0
296,0.3,power,0.9,0.1,7,-10.3096242978,0
297,0.3,power,0.9,0.1,8,-111.647939918,0
298,0.3,power,0.9,0.1,9,22.6918234131,0
299,0.3,power,0.9,0.1,10,9.38108582784,1
300,0.3,power,0.1,0.3,1,-63.1502041239,0
301,0.3,power,0.1,0.3,2,26.7901856506,0
302,0.3,power,0.1,0.3,3,-60.5488388003,0
303,0.3,power,0.1,0.3,4,24.0168855475,0
304,0.3,power,0.1,0.3,5,-30.3324597253,0
305,0.3,power,0.1,0.3,6,-33.2019909038,0
306,0.3,power,0.1,0.3,7,42.7423856448,1
307,0.3,power,0.1,0.3,8,-2.64251082601,0
308,0.3,power,0.1,0.3,9,-22.9381919717,0
309,0.3,power,0.1,0.3,10,-22.4552491458,1
310,0.3,power,0.3,0.3,1,5.93521744417,0
311,0.3,power,0.3,0.3,2,12.1863511672,1
312,0.3,power,0.3,0.3,3,27.6346353624,0
313,0.3,power,0.3,0.3,4,10.3829359625,1
314,0.3,power,0.3,0.3,5,-24.3423057268,0
315,0.3,power,0.3,0.3,6,-8.05247713412,0
316,0.3,power,0.3,0.3,7,-70.8761601638,0
317,0.3,power,0.3,0.3,8,-0.455687298731,0
318,0.3,power,0.3,0.3,9,-10.1415263381,0
319,0.3,power,0.3,0.3,10,-18.9855764625,1
320,0.3,power,0.5,0.3,1,4.1364779524,0
321,0.3,power,0.5,0.3,2,22.1172873849,0
322,0.3,power,0.5,0.3,3,7.57946234168,0
323,0.3,power,0.5,0.3,4,-19.4356414534,0
324,0.3,power,0.5,0.3,5,-16.767299245,0
325,0.3,power,0.5,0.3,6,23.9602047803,1
326,0.3,power,0.5,0.3,7,25.9739923564,1
327,0.3,power,0.5,0.3,8,-36.2330498339,0
328,0.3,power,0.5,0.3,9,-96.917388331,0
329,0.3,power,0.5,0.3,10,7.74832481856,1
330,0.3,power,0.7,0.3,1,21.6382879051,0
331,0.3,power,0.7,0.3,2,-9.09874498394,0
332,0.3,power,0.7,0.3,3,26.4283254051,0
333,0.3,power,0.7,0.3,4,-36.3040470801,0
334,0.3,power,0.7,0.3,5,-6.72930966512,1
335,0.3,power,0.7,0.3,6,-29.2390954157,1
336,0.3,power,0.7,0.3,7,-0.369474790328,0
337,0.3,power,0.7,0.3,8,-10.5732225009,0
338,0.3,power,0.7,0.3,9,-57.6517995998,0
339,0.3,power,0.7,0.3,10,15.3150252848,0
340,0.3,power,0.9,0.3,1,-10.0869788318,1
341,0.3,power,0.9,0.3,2,24.5583774079,0
342,0.3,power,0.9,0.3,3,8.66197401412,0
343,0.3,power,0.9,0.3,4,-22.0958054716,0
344,0.3,power,0.9,0.3,5,-44.8312965532,0
345,0.3,power,0.9,0.3,6,15.0532879597,1
346,0.3,power,0.9,0.3,7,-15.3126218382,0
347,0.3,power,0.9,0.3,8,23.3808248388,0
348,0.3,power,0.9,0.3,9,-21.1444132179,0
349,0.3,power,0.9,0.3,10,11.3203231374,0
350,0.3,power,0.1,0.5,1,-13.3040453153,1
351,0.3,power,0.1,0.5,2,25.5135940039,0
352,0.3,power,0.1,0.5,3,30.4823954742,0
353,0.3,power,0.1,0.5,4,1.48657871528,0
354,0.3,power,0.1,0.5,5,-34.6536618496,1
355,0.3,power,0.1,0.5,6,18.6739178103,0
356,0.3,power,0.1,0.5,7,-25.1146699712,0
357,0.3,power,0.1,0.5,8,-16.1245370469,0
358,0.3,power,0.1,0.5,9,10.4277908225,0
359,0.3,power,0.1,0.5,10,-25.6145852262,0
360,0.3,power,0.3,0.5,1,-1.02746929523,0
361,0.3,power,0.3,0.5,2,11.614164244,1
362,0.3,power,0.3,0.5,3,-0.414576516854,0
363,0.3,power,0.3,0.5,4,21.2629636723,1
364,0.3,power,0.3,0.5,5,-31.8765208723,0
365,0.3,power,0.3,0.5,6,4.28277022625,1
366,0.3,power,0.3,0.5,7,-3.87967312043,1
367,0.3,power,0.3,0.5,8,-17.2053690111,0
368,0.3,power,0.3,0.5,9,-17.0159616826,0
369,0.3,power,0.3,0.5,10,-47.0271900703,0
370,0.3,power,0.5,0.5,1,29.8247060341,0
371,0.3,power,0.5,0.5,2,1.88089905133,0
372,0.3,power,0.5,0.5,3,-14.1829333649,0
373,0.3,power,0.5,0.5,4,10.1706213151,1
374,0.3,power,0.5,0.5,5,32.6324888325,0
375,0.3,power,0.5,0.5,6,-16.4828831835,1
376,0.3,power,0.5,0.5,7,10.6870787089,1
377,0.3,power,0.5,0.5,8,-60.4166930713,0
378,0.3,power,0.5,0.5,9,11.6703070569,1
379,0.3,power,0.5,0.5,10,10.0025951673,1
380,0.3,power,0.7,0.5,1,-3.33849333754,1
381,0.3,power,0.7,0.5,2,7.76086825412,1
382,0.3,power,0.7,0.5,3,19.226446809,0
383,0.3,power,0.7,0.5,4,1.47953921382,0
384,0.3,power,0.7,0.5,5,-29.9243732191,1
385,0.3,power,0.7,0.5,6,9.22442103443,0
386,0.3,power,0.7,0.5,7,22.8248883477,1
387,0.3,power,0.7,0.5,8,10.979988989,1
388,0.3,power,0.7,0.5,9,-9.24736102544,0
389,0.3,power,0.7,0.5,10,-77.7970626437,0
390,0.3,power,0.9,0.5,1,16.190481452,0
391,0.3,power,0.9,0.5,2,-66.4110406083,0
392,0.3,power,0.9,0.5,3,18.1011154277,0
393,0.3,power,0.9,0.5,4,14.1118407509,1
394,0.3,power,0.9,0.5,5,13.9199622065,0
395,0.3,power,0.9,0.5,6,-60.2037152698,0
396,0.3,power,0.9,0.5,7,4.45265954247,0
397,0.3,power,0.9,0.5,8,-26.3599791655,0
398,0.3,power,0.9,0.5,9,20.2088427066,0
399,0.3,power,0.9,0.5,10,16.3581775156,1
400,0.3,power,0.1,0.7,1,-32.2972284726,0
401,0.3,power,0.1,0.7,2,-33.0249039051,1
402,0.3,power,0.1,0.7,3,-100.211363407,1
403,0.3,power,0.1,0.7,4,20.1492293037,0
404,0.3,power,0.1,0.7,5,-15.0321185613,0
405,0.3,power,0.1,0.7,6,-26.2512790559,0
406,0.3,power,0.1,0.7,7,-27.6560693207,1
407,0.3,power,0.1,0.7,8,20.0177915676,0
408,0.3,power,0.1,0.7,9,-45.8044279477,0
409,0.3,power,0.1,0.7,10,22.465858126,0
410,0.3,power,0.3,0.7,1,7.71699074426,0
411,0.3,power,0.3,0.7,2,33.1675642408,1
412,0.3,power,0.3,0.7,3,26.1630010968,0
413,0.3,power,0.3,0.7,4,11.5614389583,0
414,0.3,power,0.3,0.7,5,8.11873206959,1
415,0.3,power,0.3,0.7,6,20.89249275,0
416,0.3,power,0.3,0.7,7,11.9724958016,0
417,0.3,power,0.3,0.7,8,13.7254730578,1
418,0.3,power,0.3,0.7,9,16.5044452612,1
419,0.3,power,0.3,0.7,10,7.79254215143,0
420,0.3,power,0.5,0.7,1,26.4172468688,1
421,0.3,power,0.5,0.7,2,-21.1786948753,0
422,0.3,power,0.5,0.7,3,12.3339816439,0
423,0.3,power,0.5,0.7,4,21.0835213812,0
424,0.3,power,0.5,0.7,5,-10.1360547531,0
425,0.3,power,0.5,0.7,6,18.4646117201,0
426,0.3,power,0.5,0.7,7,-31.3688600061,0
427,0.3,power,0.5,0.7,8,-32.4520053998,0
428,0.3,power,0.5,0.7,9,-18.9124994751,1
429,0.3,power,0.5,0.7,10,29.8217728666,0
430,0.3,power,0.7,0.7,1,-11.6953482848,0
431,0.3,power,0.7,0.7,2,23.880592557,1
432,0.3,power,0.7,0.7,3,33.5104546653,1
433,0.3,power,0.7,0.7,4,4.14881822627,0
434,0.3,power,0.7,0.7,5,2.69870847673,0
435,0.3,power,0.7,0.7,6,-12.9491350683,0
436,0.3,power,0.7,0.7,7,-15.5317395493,0
437,0.3,power,0.7,0.7,8,9.48862737255,1
438,0.3,power,0.7,0.7,9,-15.6891373144,0
