,alpha,trial,net_reward,success
303,0.4,4,25.3163827426,1
304,0.4,5,20.3154603057,1
305,0.4,6,23.2610101441,1
306,0.4,7,20.9974819053,1
307,0.4,8,14.0676080268,1
308,0.4,9,16.1562297171,1
309,0.4,10,42.4210805782,0
310,0.4,11,7.73114271431,1
311,0.4,12,30.7594763479,1
312,0.4,13,26.2245397105,1
313,0.4,14,17.2364080311,1
314,0.4,15,22.3962548106,1
315,0.4,16,17.9240437126,1
316,0.4,17,30.6373922704,0
317,0.4,18,27.8584648599,0
318,0.4,19,22.4379756212,0
319,0.4,20,17.1792772035,1
320,0.4,21,25.513750302,1
321,0.4,22,12.7515933818,1
322,0.4,23,36.7346892094,0
323,0.4,24,24.6394053696,1
324,0.4,25,32.4417986915,1
325,0.4,26,31.9674533656,1
326,0.4,27,32.1090895555,1
327,0.4,28,20.8362396447,1
328,0.4,29,18.4607589658,1
329,0.4,30,21.6317165932,1
330,0.4,31,17.6770496572,1
331,0.4,32,19.4576847516,1
332,0.4,33,36.6480629502,1
333,0.4,34,28.0206195666,1
334,0.4,35,27.9631228024,1
335,0.4,36,18.8877255679,1
336,0.4,37,11.4672241838,1
337,0.4,38,34.3941844672,1
338,0.4,39,19.793260269,1
339,0.4,40,23.391395239,1
340,0.4,41,34.5395330238,1
341,0.4,42,32.722201083,0
342,0.4,43,17.5300025318,1
343,0.4,44,26.6342379504,1
344,0.4,45,35.8176778232,1
345,0.4,46,22.8130045824,1
346,0.4,47,22.1630738963,1
347,0.4,48,26.7309748269,0
348,0.4,49,47.1574300427,1
349,0.4,50,23.5767454504,1
350,0.4,51,33.4608774627,1
351,0.4,52,10.6974055217,1
352,0.4,53,18.840797943,1
353,0.4,54,29.5233595881,1
354,0.4,55,36.1731432599,1
355,0.4,56,28.9232019922,1
356,0.4,57,25.7790311955,1
357,0.4,58,13.49951003,1
358,0.4,59,22.8498351061,1
359,0.4,60,38.100575196,1
360,0.4,61,15.6273895043,1
361,0.4,62,25.4107805863,1
362,0.4,63,25.9959533625,1
363,0.4,64,33.8188377288,0
364,0.4,65,21.0470578743,1
365,0.4,66,26.9091357747,1
366,0.4,67,29.5629174534,1
367,0.4,68,23.1528589476,1
368,0.4,69,25.4258028576,1
369,0.4,70,23.7127225798,1
370,0.4,71,17.1506182634,1
371,0.4,72,25.8333957968,1
372,0.4,73,36.1083539976,0
373,0.4,74,29.2994583783,1
374,0.4,75,7.63342313786,1
375,0.4,76,18.8567985137,1
376,0.4,77,25.7185400875,1
377,0.4,78,27.2214247455,1
378,0.4,79,17.618423261,1
379,0.4,80,29.2817151532,0
380,0.4,81,22.3441637856,1
381,0.4,82,24.5029111498,1
382,0.4,83,33.8951497552,1
383,0.4,84,15.9338304903,1
384,0.4,85,33.8335784481,0
385,0.4,86,28.4594995818,0
386,0.4,87,10.0686549392,1
387,0.4,88,29.1807671295,1
388,0.4,89,26.9081225484,1
389,0.4,90,11.079443162,1
390,0.4,91,24.6881926252,1
391,0.4,92,26.1044127346,1
392,0.4,93,16.5821249461,1
393,0.4,94,19.2517930217,1
394,0.4,95,27.0363947177,1
395,0.4,96,29.5217229294,1
396,0.4,97,35.9016604637,1
397,0.4,98,34.0585849831,1
398,0.4,99,17.2168603444,1
399,0.4,100,32.0649750516,0
400,0.5,1,24.1697111697,1
401,0.5,2,21.1229045445,1
402,0.5,3,15.8064299863,1
403,0.5,4,35.853273273,1
404,0.5,5,31.1182981327,0
405,0.5,6,10.2572691459,1
406,0.5,7,16.0732011378,1
407,0.5,8,27.3395306119,1
408,0.5,9,21.1244074818,1
409,0.5,10,27.1860742019,0
410,0.5,11,25.5709546553,1
411,0.5,12,9.39406010105,1
412,0.5,13,29.6868657273,1
413,0.5,14,30.6075338794,0
414,0.5,15,33.1991552413,0
415,0.5,16,32.9488063169,1
416,0.5,17,17.5728061658,1
417,0.5,18,20.3829024786,1
418,0.5,19,19.6747616737,1
419,0.5,20,30.1927493658,1
420,0.5,21,41.8506823022,0
421,0.5,22,29.1173274753,1
422,0.5,23,20.5311393748,1
423,0.5,24,15.0420885919,1
424,0.5,25,30.0935256492,1
425,0.5,26,36.3400634209,1
426,0.5,27,23.4300900211,1
427,0.5,28,42.1976714273,1
428,0.5,29,10.4472638639,1
429,0.5,30,39.8237398066,1
430,0.5,31,26.9658731284,1
431,0.5,32,33.4009146296,0
432,0.5,33,34.1666807007,1
433,0.5,34,11.4583131553,1
434,0.5,35,26.8456945792,1
435,0.5,36,12.5255460472,1
436,0.5,37,13.2712462618,1
437,0.5,38,29.3206743171,1
438,0.5,39,21.1342482807,1
439,0.5,40,39.5701078744,0
440,0.5,41,22.8422412853,1
441,0.5,42,23.8507172888,1
442,0.5,43,35.8310950182,1
443,0.5,44,32.0628251648,0
444,0.5,45,18.7174851198,1
445,0.5,46,22.7857024724,1
446,0.5,47,24.0378614693,1
447,0.5,48,23.227069222,1
448,0.5,49,11.2218358224,1
449,0.5,50,32.257557805,0
450,0.5,51,35.3685630424,1
451,0.5,52,35.7263634029,1
452,0.5,53,25.0815127025,1
453,0.5,54,36.3354027639,0
454,0.5,55,23.0879394812,1
455,0.5,56,16.1011418679,1
456,0.5,57,16.440770565,1
457,0.5,58,13.767627384,1
458,0.5,59,10.2867785736,1
459,0.5,60,23.7750728919,1
460,0.5,61,26.4980879573,1
461,0.5,62,22.8082906194,1
462,0.5,63,25.6605112719,1
463,0.5,64,29.277299796,1
464,0.5,65,35.3702576665,1
465,0.5,66,38.8580766296,0
466,0.5,67,28.4663422496,0
467,0.5,68,33.5482340563,0
468,0.5,69,17.9830249848,1
469,0.5,70,27.813047601,0
470,0.5,71,17.0394134544,1
471,0.5,72,29.6290091886,1
472,0.5,73,14.3617872726,1
473,0.5,74,12.4489227903,1
474,0.5,75,40.9720971824,0
475,0.5,76,26.1088566001,0
476,0.5,77,19.3565216341,1
477,0.5,78,5.43961507094,1
478,0.5,79,23.7000776997,1
479,0.5,80,30.2444811328,0
480,0.5,81,32.3909505593,1
481,0.5,82,22.9313661458,1
482,0.5,83,32.5147893884,0
483,0.5,84,35.8284233863,0
484,0.5,85,34.6101343495,0
485,0.5,86,29.8974717291,1
486,0.5,87,19.3314358696,1
487,0.5,88,16.302629772,1
488,0.5,89,24.9456999562,1
489,0.5,90,24.3529688469,1
490,0.5,91,10.087046372,1
491,0.5,92,7.45280280316,1
492,0.5,93,31.657646101,0
493,0.5,94,44.6452965355,1
494,0.5,95,31.3103284304,0
495,0.5,96,24.7015652633,1
496,0.5,97,29.4530696866,0
497,0.5,98,34.2367771283,0
498,0.5,99,32.7038930839,1
499,0.5,100,12.1439723069,1
500,0.6,1,32.8491271873,1
501,0.6,2,16.7078336204,1
502,0.6,3,30.7217082858,0
503,0.6,4,22.4901652477,1
504,0.6,5,38.0933654879,1
505,0.6,6,18.8219486016,1
506,0.6,7,36.6290025694,1
507,0.6,8,13.3449536052,1
508,0.6,9,43.3834303917,1
509,0.6,10,18.6885708925,1
510,0.6,11,10.4100480347,1
511,0.6,12,7.08464467747,1
512,0.6,13,17.4583416511,1
513,0.6,14,14.4639988905,1
514,0.6,15,32.9200606917,0
515,0.6,16,25.4304864657,1
516,0.6,17,37.7814381267,1
517,0.6,18,31.0701465185,1
518,0.6,19,15.0908433935,1
519,0.6,20,31.6861132127,1
520,0.6,21,13.4348350284,1
521,0.6,22,10.3829642905,1
522,0.6,23,19.4851010057,1
523,0.6,24,23.5549452433,1
524,0.6,25,16.6487003442,1
525,0.6,26,34.3159122552,1
526,0.6,27,22.8398334429,1
527,0.6,28,36.2228880482,0
528,0.6,29,10.6459148051,1
529,0.6,30,26.8226063575,1
530,0.6,31,27.8763312476,1
531,0.6,32,14.3198473978,1
532,0.6,33,28.3127855969,1
533,0.6,34,16.1595222689,1
534,0.6,35,37.7511116715,0
535,0.6,36,21.8311813875,1
536,0.6,37,21.9098080049,1
537,0.6,38,26.7665449276,1
538,0.6,39,34.6492611296,1
539,0.6,40,23.3335620809,1
540,0.6,41,17.805095758,1
541,0.6,42,36.438398387,0
542,0.6,43,28.3462434913,0
543,0.6,44,28.2824892718,1
544,0.6,45,20.0532491364,1
545,0.6,46,28.3896736986,1
546,0.6,47,20.8831403194,1
547,0.6,48,25.5793909555,1
548,0.6,49,30.8441491434,1
549,0.6,50,11.4976216733,1
550,0.6,51,29.696320998,1
551,0.6,52,13.7176851656,1
552,0.6,53,29.4155905907,1
553,0.6,54,21.3698400475,1
554,0.6,55,13.4672705726,1
555,0.6,56,18.1996371227,1
556,0.6,57,11.8879420571,1
557,0.6,58,39.0013295766,0
558,0.6,59,31.168439473,1
559,0.6,60,7.7217229032,1
560,0.6,61,23.3078722488,1
561,0.6,62,16.0336771485,1
562,0.6,63,13.147692035,1
563,0.6,64,15.3752511305,1
564,0.6,65,23.2629102257,1
565,0.6,66,22.5225158872,1
566,0.6,67,18.0879304545,1
567,0.6,68,13.4417434302,1
568,0.6,69,20.0835617298,1
569,0.6,70,31.8047893692,0
570,0.6,71,35.9091855649,0
571,0.6,72,19.1587111133,1
572,0.6,73,32.397914203,1
573,0.6,74,15.6378339804,1
574,0.6,75,30.5497286104,1
575,0.6,76,30.174278407,1
576,0.6,77,39.5565763592,0
577,0.6,78,23.5414174803,1
578,0.6,79,11.0222461854,1
579,0.6,80,17.8572145785,1
580,0.6,81,32.8707059182,1
581,0.6,82,40.2567662193,0
582,0.6,83,22.0137617124,1
583,0.6,84,30.2770772363,1
584,0.6,85,18.0293654583,1
585,0.6,86,34.4009072678,0
586,0.6,87,14.2989854867,1
587,0.6,88,24.5809876313,1
588,0.6,89,20.689834866,1
589,0.6,90,25.0774356513,1
590,0.6,91,20.534234029,1
591,0.6,92,29.4927823951,1
592,0.6,93,14.214634343,1
593,0.6,94,26.4508421418,1
594,0.6,95,18.8512858473,1
595,0.6,96,33.2763083713,1
596,0.6,97,29.1153924672,1
597,0.6,98,33.3765970644,1
598,0.6,99,20.100470276,1
599,0.6,100,25.7821397097,1
600,0.7,1,24.3760031941,1
601,0.7,2,23.7647715428,1
602,0.7,3,39.7975511181,1
603,0.7,4,22.1785718528,1
604,0.7,5,40.3639863552,1
605,0.7,6,19.2797398208,1
606,0.7,7,32.3381586504,1
607,0.7,8,23.9022049905,1
608,0.7,9,15.5496850055,1
609,0.7,10,6.2838548132,1
610,0.7,11,23.7459970692,1
