trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.7, 'e': 6.85596132412799e-05}",35,22,24.774729175581136,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 6.170365191715192e-05}",25,15,18.462324475435985,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 5.553328672543673e-05}",20,11,16.890110722431704,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 4.997995805289306e-05}",20,0,28.677516078999275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 4.498196224760375e-05}",20,7,26.904818874200398,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 4.0483766022843375e-05}",20,11,16.081390245599028,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 3.643538942055904e-05}",20,10,20.148184872615868,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 3.279185047850314e-05}",20,7,26.014855408381102,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 2.9512665430652825e-05}",20,6,22.979475054831976,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 2.6561398887587544e-05}",20,0,24.904602003291053,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.7, 'e': 2.3905258998828788e-05}",25,6,27.555910854356302,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 2.151473309894591e-05}",20,10,19.25363912103458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 1.936325978905132e-05}",20,10,19.766206017889175,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 1.7426933810146188e-05}",25,13,22.623626101467185,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 1.568424042913157e-05}",20,5,24.734501425256344,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 1.4115816386218413e-05}",20,10,18.659101768114596,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 1.2704234747596572e-05}",30,8,22.415443800748434,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 1.1433811272836916e-05}",20,3,29.541636502817852,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 1.0290430145553224e-05}",35,21,28.405876916873723,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 9.261387130997903e-06}",35,15,29.920157053122164,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 8.335248417898112e-06}",25,10,17.239037820946855,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 7.501723576108301e-06}",25,14,21.40528974886968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 6.751551218497471e-06}",30,6,42.250239004298514,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 6.076396096647724e-06}",20,15,11.785238979212828,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 5.468756486982952e-06}",35,5,49.69778269516539,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 4.921880838284657e-06}",20,12,15.066176324495354,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 4.4296927544561915e-06}",25,17,16.294676567259266,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 3.986723479010572e-06}",25,0,38.36791953633846,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.7, 'e': 3.588051131109515e-06}",20,13,11.020475573886515,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 3.2292460179985636e-06}",30,18,17.36753763488504,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 2.9063214161987074e-06}",20,14,13.187459408123702,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 2.6156892745788365e-06}",25,13,-10.095386403275862,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.7, 'e': 2.354120347120953e-06}",30,0,42.99285073413923,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.7, 'e': 2.118708312408858e-06}",20,8,25.676800220469218,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 1.906837481167972e-06}",35,18,29.149116254787337,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 1.716153733051175e-06}",30,12,33.3921614964646,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
